PROVINCE,Case_Lag1,Case_Lag2,Case_Lag3,Case_ratio
Nonthaburi,0.394546293,1.257984634,1.518809394,0.257545627
Nonthaburi,-0.726096439,0.392851471,1.311041523,0.146965889
Nonthaburi,-0.849394404,-0.726242346,0.418808701,0.311749566
Nonthaburi,-0.665658284,-0.849369892,-0.735339904,0.512760879
Nonthaburi,-0.44152784,-0.665887726,-0.862324329,3.72101698
Nonthaburi,3.135722891,-0.442067068,-0.67309472,3.74123092
Nonthaburi,3.158261718,3.130239302,-0.442263045,1.274723954
Nonthaburi,0.408071719,3.152746976,3.241943189,0.227256613
Nonthaburi,-0.759869117,0.406358202,3.265155899,0.11799485
Nonthaburi,-0.881697521,-0.759968343,0.432738521,0.190189311
Nonthaburi,-0.80119968,-0.88162836,-0.770122343,0.226011787
Nonthaburi,-0.761257115,-0.801241781,-0.895593271,0.189583215
Nonthaburi,-0.801875486,-0.761354423,-0.812688641,0.144268917
Nonthaburi,-0.852401566,-0.801916653,-0.771551841,0.180255855
Nonthaburi,-0.812275623,-0.852372897,-0.813384653,0.512919728
Nonthaburi,-0.441350721,-0.812302415,-0.865421402,0.88017891
Nonthaburi,-0.031851561,-0.441890193,-0.824095742,2.30412061
Nonthaburi,1.555863486,-0.032957031,-0.44208063,0.724884757
Nonthaburi,-0.205006729,1.552563528,-0.020337937,0.250395715
Nonthaburi,-0.734068692,-0.205872868,1.614847884,0.107229502
Nonthaburi,-0.893701035,-0.734203579,-0.198670236,0.106892138
Nonthaburi,-0.894077201,-0.893615283,-0.743550517,0.231153849
Nonthaburi,-0.755523644,-0.89399093,-0.907955675,0.417268525
Nonthaburi,-0.548003159,-0.755628876,-0.908343089,0.274858758
Nonthaburi,-0.706792054,-0.54839522,-0.765646946,0.132814471
Nonthaburi,-0.865173434,-0.706964642,-0.551921848,0.1503181
Nonthaburi,-0.845656642,-0.865127113,-0.715458341,0.379550524
Nonthaburi,-0.590059261,-0.845637296,-0.878575134,0.784598594
Nonthaburi,-0.138424959,-0.590393194,-0.858474813,1.136014386
Nonthaburi,0.253408597,-0.139383126,-0.595235377,1.583002075
Nonthaburi,0.751806165,0.25190885,-0.130097752,1.035840976
Nonthaburi,0.141713834,0.749617549,0.273451158,0.876789967
Nonthaburi,-0.035630281,0.140368468,0.786750215,0.648171587
Nonthaburi,-0.290542994,-0.036730527,0.158416855,0.726179561
Nonthaburi,-0.203563004,-0.291290908,-0.024229636,0.935163457
Nonthaburi,0.029456983,-0.204431139,-0.286763933,0.392807263
Nonthaburi,-0.575277811,0.028266775,-0.197183346,0.305266013
Nonthaburi,-0.672887537,-0.575632174,0.042803659,0.174235758
Nonthaburi,-0.818988116,-0.673106987,-0.580011979,0.113148066
Nonthaburi,-0.887101753,-0.81900563,-0.680540119,0.313083498
Nonthaburi,-0.664170931,-0.887025122,-0.83100893,0.425693468
Nonthaburi,-0.538609229,-0.664402428,-0.901159082,0.477264424
Nonthaburi,-0.481106886,-0.539014274,-0.671562896,0.459303142
Nonthaburi,-0.501133969,-0.481591409,-0.542247051,0.216403189
Nonthaburi,-0.771970838,-0.501590811,-0.483025457,0.207563798
Nonthaburi,-0.781826883,-0.772053338,-0.503651326,0.639184608
Nonthaburi,-0.300563602,-0.78189576,-0.782585891,0.742076606
Nonthaburi,-0.185837574,-0.301297666,-0.79273662,1.120081335
Nonthaburi,0.235643021,-0.186730209,-0.297084145,0.266862251
Nonthaburi,-0.715708273,0.234167829,-0.178927947,0.163341099
Nonthaburi,-0.831135814,-0.715868537,0.255154412,0.41221319
Nonthaburi,-0.553639929,-0.831136538,-0.724641143,0.291640719
Nonthaburi,-0.688079931,-0.554024199,-0.84351983,0.342770079
Nonthaburi,-0.631069975,-0.688278383,-0.55772715,0.607563567
Nonthaburi,-0.335821507,-0.631347224,-0.696186748,0.495577822
Nonthaburi,-0.46068719,-0.336506839,-0.637472262,0.537370263
Nonthaburi,-0.414088029,-0.461199936,-0.333396219,0.596318161
Nonthaburi,-0.348360293,-0.414665183,-0.461995236,0.544558499
Nonthaburi,-0.406073045,-0.349028294,-0.414002817,0.747701667
Nonthaburi,-0.179565553,-0.406661277,-0.3463099,0.644860757
Nonthaburi,-0.294234616,-0.180466856,-0.405748194,0.372951838
Nonthaburi,-0.59741689,-0.294977427,-0.172468399,0.28783678
Nonthaburi,-0.692321378,-0.597740652,-0.29056593,0.380459917
Nonthaburi,-0.589045275,-0.692513967,-0.60281299,0.405216145
Nonthaburi,-0.561441733,-0.589380609,-0.700555008,0.758975518
Nonthaburi,-0.16699505,-0.561815219,-0.594191074,0.665319745
Nonthaburi,-0.271422556,-0.167913728,-0.565762219,0.554715078
Nonthaburi,-0.394748317,-0.272196897,-0.159522054,1.006745193
Nonthaburi,0.109271626,-0.395352202,-0.267071816,0.460748037
Nonthaburi,-0.499522891,0.107971101,-0.39408487,0.694342779
Nonthaburi,-0.239061464,-0.49998196,0.125004665,2.271394954
Nonthaburi,1.519373918,-0.239880534,-0.501992078,1.375508938
Nonthaburi,0.520448395,1.516124395,-0.233743167,0.541294977
Nonthaburi,-0.409711918,0.518579555,1.577267322,0.365917146
Nonthaburi,-0.605260669,-0.410295121,0.548475125,0.382414264
Nonthaburi,-0.58686615,-0.605573591,-0.409495865,0.423541957
Nonthaburi,-0.541008194,-0.587204496,-0.610891289,1.227454847
Nonthaburi,0.355365999,-0.541409923,-0.591946796,1.780867191
Nonthaburi,0.972428555,0.35372533,-0.544717742,1.952517424
Nonthaburi,1.163820982,0.969935002,0.378456964,0.983081904
Nonthaburi,0.082886726,1.161062892,1.01396895,0.412567125
Nonthaburi,-0.553245287,0.081622669,1.21108378,0.461557609
Nonthaburi,-0.498620207,-0.553630102,0.097830887,0.469188707
Nonthaburi,-0.490111425,-0.499080524,-0.557320709,0.221951131
Nonthaburi,-0.765784803,-0.490583502,-0.501062405,0.229983244
Nonthaburi,-0.756828884,-0.765875853,-0.492299221,0.443006406
Nonthaburi,-0.51930506,-0.756932313,-0.776214902,1.114191523
Nonthaburi,0.229075798,-0.519736786,-0.766991212,1.734896377
Nonthaburi,0.92117045,0.227609683,-0.52236571,3.04870573
Nonthaburi,2.38608638,0.918747744,0.248390837,4.139174222
Nonthaburi,3.601974104,2.381638914,0.961178288,2.299634179
Nonthaburi,1.550861052,3.595846077,2.469893446,0.993194986
Nonthaburi,0.094162955,1.547568008,3.722134753,0.585491996
Nonthaburi,-0.36043162,0.092883313,1.609695883,0.690320569
Nonthaburi,-0.243546285,-0.361082936,0.109444262,0.876256373
Nonthaburi,-0.036225245,-0.244359157,-0.358742145,0.802127989
Nonthaburi,-0.118879437,-0.037324669,-0.238362079,0.453414127
Nonthaburi,-0.507700303,-0.119864619,-0.024842389,0.468847887
Nonthaburi,-0.490491444,-0.50814807,-0.109967842,0.468305413
Nonthaburi,-0.491096311,-0.490962996,-0.510413985,0.975878856
Nonthaburi,0.074855226,-0.491567026,-0.492690601,1.264962003
Nonthaburi,0.397187006,0.07360227,-0.493313553,2.197266214
Nonthaburi,1.43671933,0.395488533,0.089559255,1.229935175
Nonthaburi,0.3581316,1.433584049,0.421528368,0.762933326
Nonthaburi,-0.162582038,0.356487108,1.492141461,0.641902599
Nonthaburi,-0.297533003,-0.163506816,0.381305252,2.124107174
Nonthaburi,1.355145969,-0.298271256,-0.154977098,2.890529792
Nonthaburi,2.209717981,1.352123436,-0.293962935,3.327318565
Nonthaburi,2.696743614,2.205514286,1.408129155,1.693812949
Nonthaburi,0.875361849,2.691866768,2.288251843,0.925510746
Nonthaburi,0.018694075,0.873002459,2.789838958,1.171298875
Nonthaburi,0.292751299,0.017518743,0.914000065,1.719304446
Nonthaburi,0.903785228,0.291197174,0.031718953,1.328011744
Nonthaburi,0.467488355,0.901386551,0.313970159,3.796739411
Nonthaburi,3.220154467,0.465692714,0.943273269,3.611369066
Nonthaburi,3.013463922,3.214554179,0.493931643,1.918777057
Nonthaburi,1.126199998,3.008149315,3.328899168,1.098478173
Si Sa Ket,0.078905818,-0.268239257,-0.024180349,0.44161108
Si Sa Ket,-0.21096322,0.089307229,-0.251602571,0.138014414
